english,vietnamese,part_of_speech
hello,xin chào,interjection
goodbye,tạm biệt,interjection
thank,cảm ơn,verb
you,bạn,pronoun
please,làm ơn,adverb
yes,vâng,interjection
no,không,interjection
sorry,xin lỗi,adjective
excuse,bỏ qua,verb
help,giúp đỡ,verb
time,thời gian,noun
day,ngày,noun
week,tuần,noun
month,tháng,noun
year,năm,noun
today,hôm nay,noun
tomorrow,ngày mai,noun
yesterday,hôm qua,noun
morning,buổi sáng,noun
afternoon,buổi chiều,noun
evening,buổi tối,noun
night,đêm,noun
water,nước,noun
food,thức ăn,noun
bread,bánh mì,noun
rice,cơm,noun
meat,thịt,noun
fish,cá,noun
chicken,gà,noun
egg,trứng,noun
milk,sữa,noun
coffee,cà phê,noun
tea,trà,noun
fruit,trái cây,noun
vegetable,rau,noun
apple,táo,noun
banana,chuối,noun
orange,cam,noun
house,nhà,noun
home,nhà,noun
door,cửa,noun
window,cửa sổ,noun
room,phòng,noun
kitchen,nhà bếp,noun
bathroom,phòng tắm,noun
bedroom,phòng ngủ,noun
family,gia đình,noun
mother,mẹ,noun
father,cha,noun
parent,bố mẹ,noun
child,con,noun
son,con trai,noun
daughter,con gái,noun
brother,anh trai,noun
sister,chị gái,noun
husband,chồng,noun
wife,vợ,noun
friend,bạn,noun
person,người,noun
man,đàn ông,noun
woman,phụ nữ,noun
boy,con trai,noun
girl,con gái,noun
baby,em bé,noun
go,đi,verb
come,đến,verb
see,nhìn,verb
look,nhìn,verb
hear,nghe,verb
listen,nghe,verb
speak,nói,verb
talk,nói chuyện,verb
say,nói,verb
tell,kể,verb
ask,hỏi,verb
answer,trả lời,verb
read,đọc,verb
write,viết,verb
learn,học,verb
teach,dạy,verb
study,học tập,verb
know,biết,verb
understand,hiểu,verb
think,nghĩ,verb
believe,tin,verb
remember,nhớ,verb
forget,quên,verb
want,muốn,verb
need,cần,verb
like,thích,verb
love,yêu,verb
hate,ghét,verb
eat,ăn,verb
drink,uống,verb
sleep,ngủ,verb
wake,thức dậy,verb
work,làm việc,verb
play,chơi,verb
run,chạy,verb
walk,đi bộ,verb
sit,ngồi,verb
stand,đứng,verb
give,cho,verb
take,lấy,verb
bring,mang,verb
buy,mua,verb
sell,bán,verb
pay,trả tiền,verb
open,mở,verb
close,đóng,verb
begin,bắt đầu,verb
start,bắt đầu,verb
finish,kết thúc,verb
end,kết thúc,verb
stop,dừng,verb
continue,tiếp tục,verb
make,làm,verb
do,làm,verb
have,có,verb
get,lấy,verb
put,đặt,verb
keep,giữ,verb
let,để,verb
seem,có vẻ,verb
become,trở nên,verb
feel,cảm thấy,verb
big,to,adjective
small,nhỏ,adjective
large,lớn,adjective
little,nhỏ,adjective
long,dài,adjective
short,ngắn,adjective
tall,cao,adjective
high,cao,adjective
low,thấp,adjective
new,mới,adjective
old,cũ,adjective
young,trẻ,adjective
good,tốt,adjective
bad,xấu,adjective
great,tuyệt vời,adjective
nice,đẹp,adjective
beautiful,xinh đẹp,adjective
pretty,đẹp,adjective
hot,nóng,adjective
cold,lạnh,adjective
warm,ấm,adjective
cool,mát,adjective
happy,vui,adjective
sad,buồn,adjective
angry,tức giận,adjective
tired,mệt,adjective
hungry,đói,adjective
thirsty,khát,adjective
sick,ốm,adjective
healthy,khỏe mạnh,adjective
strong,mạnh,adjective
weak,yếu,adjective
fast,nhanh,adjective
slow,chậm,adjective
easy,dễ,adjective
difficult,khó,adjective
hard,khó,adjective
simple,đơn giản,adjective
clean,sạch,adjective
dirty,bẩn,adjective
full,đầy,adjective
empty,trống,adjective
rich,giàu,adjective
poor,nghèo,adjective
expensive,đắt,adjective
cheap,rẻ,adjective
free,miễn phí,adjective
right,đúng,adjective
wrong,sai,adjective
true,thật,adjective
false,sai,adjective
same,giống,adjective
different,khác,adjective
near,gần,adjective
far,xa,adjective
early,sớm,adjective
late,muộn,adjective
many,nhiều,adjective
much,nhiều,adjective
few,ít,adjective
little,ít,adjective
all,tất cả,adjective
some,một số,adjective
any,bất kỳ,adjective
every,mỗi,adjective
other,khác,adjective
here,ở đây,adverb
there,ở đó,adverb
now,bây giờ,adverb
then,sau đó,adverb
always,luôn luôn,adverb
never,không bao giờ,adverb
often,thường,adverb
sometimes,đôi khi,adverb
usually,thường,adverb
very,rất,adverb
too,quá,adverb
so,quá,adverb
well,tốt,adverb
also,cũng,adverb
only,chỉ,adverb
just,chỉ,adverb
really,thực sự,adverb
maybe,có thể,adverb
perhaps,có lẽ,adverb
probably,có lẽ,adverb
almost,gần như,adverb
quite,khá,adverb
enough,đủ,adverb
together,cùng nhau,adverb
again,lại,adverb
once,một lần,adverb
twice,hai lần,adverb
quickly,nhanh chóng,adverb
slowly,chậm,adverb
carefully,cẩn thận,adverb
suddenly,đột nhiên,adverb
finally,cuối cùng,adverb
I,tôi,pronoun
me,tôi,pronoun
my,của tôi,pronoun
mine,của tôi,pronoun
we,chúng tôi,pronoun
us,chúng tôi,pronoun
our,của chúng tôi,pronoun
ours,của chúng tôi,pronoun
he,anh ấy,pronoun
him,anh ấy,pronoun
his,của anh ấy,pronoun
she,cô ấy,pronoun
her,cô ấy,pronoun
hers,của cô ấy,pronoun
it,nó,pronoun
its,của nó,pronoun
they,họ,pronoun
them,họ,pronoun
their,của họ,pronoun
theirs,của họ,pronoun
this,cái này,pronoun
that,cái đó,pronoun
these,những cái này,pronoun
those,những cái đó,pronoun
who,ai,pronoun
whom,ai,pronoun
whose,của ai,pronoun
what,cái gì,pronoun
which,cái nào,pronoun
where,ở đâu,pronoun
when,khi nào,pronoun
why,tại sao,pronoun
how,làm sao,pronoun
and,và,conjunction
but,nhưng,conjunction
or,hoặc,conjunction
because,vì,conjunction
if,nếu,conjunction
when,khi,conjunction
while,trong khi,conjunction
although,mặc dù,conjunction
though,mặc dù,conjunction
so,vì vậy,conjunction
than,hơn,conjunction
as,như,conjunction
before,trước,conjunction
after,sau,conjunction
until,cho đến khi,conjunction
unless,trừ khi,conjunction
in,trong,preposition
on,trên,preposition
at,ở,preposition
to,đến,preposition
from,từ,preposition
with,với,preposition
without,không có,preposition
by,bằng,preposition
for,cho,preposition
about,về,preposition
of,của,preposition
off,tắt,preposition
up,lên,preposition
down,xuống,preposition
over,qua,preposition
under,dưới,preposition
above,trên,preposition
below,dưới,preposition
between,giữa,preposition
among,trong số,preposition
through,qua,preposition
across,băng qua,preposition
into,vào,preposition
out,ra,preposition
inside,bên trong,preposition
outside,bên ngoài,preposition
behind,đằng sau,preposition
beside,bên cạnh,preposition
near,gần,preposition
toward,về phía,preposition
against,chống lại,preposition
during,trong suốt,preposition
since,từ khi,preposition
number,số,noun
one,một,number
two,hai,number
three,ba,number
four,bốn,number
five,năm,number
six,sáu,number
seven,bảy,number
eight,tám,number
nine,chín,number
ten,mười,number
eleven,mười một,number
twelve,mười hai,number
thirteen,mười ba,number
fourteen,mười bốn,number
fifteen,mười lăm,number
sixteen,mười sáu,number
seventeen,mười bảy,number
eighteen,mười tám,number
nineteen,mười chín,number
twenty,hai mươi,number
thirty,ba mươi,number
forty,bốn mươi,number
fifty,năm mươi,number
sixty,sáu mươi,number
seventy,bảy mươi,number
eighty,tám mươi,number
ninety,chín mươi,number
hundred,trăm,number
thousand,nghìn,number
million,triệu,number
first,thứ nhất,adjective
second,thứ hai,adjective
third,thứ ba,adjective
fourth,thứ tư,adjective
fifth,thứ năm,adjective
last,cuối cùng,adjective
next,tiếp theo,adjective
country,đất nước,noun
city,thành phố,noun
town,thị trấn,noun
village,làng,noun
street,đường phố,noun
road,đường,noun
place,nơi,noun
world,thế giới,noun
earth,trái đất,noun
sea,biển,noun
ocean,đại dương,noun
river,sông,noun
lake,hồ,noun
mountain,núi,noun
hill,đồi,noun
forest,rừng,noun
tree,cây,noun
flower,hoa,noun
grass,cỏ,noun
plant,cây,noun
animal,động vật,noun
bird,chim,noun
dog,chó,noun
cat,mèo,noun
horse,ngựa,noun
cow,bò,noun
pig,lợn,noun
sheep,cừu,noun
goat,dê,noun
lion,sư tử,noun
tiger,hổ,noun
elephant,voi,noun
monkey,khỉ,noun
snake,rắn,noun
insect,côn trùng,noun
fly,ruồi,noun
bee,ong,noun
school,trường học,noun
class,lớp,noun
student,học sinh,noun
teacher,giáo viên,noun
book,sách,noun
pen,bút,noun
pencil,bút chì,noun
paper,giấy,noun
desk,bàn,noun
chair,ghế,noun
table,bàn,noun
picture,hình ảnh,noun
photo,ảnh,noun
color,màu sắc,noun
white,trắng,adjective
black,đen,adjective
red,đỏ,adjective
blue,xanh dương,adjective
green,xanh lá,adjective
yellow,vàng,adjective
brown,nâu,adjective
gray,xám,adjective
pink,hồng,adjective
purple,tím,adjective
money,tiền,noun
dollar,đô la,noun
price,giá,noun
cost,chi phí,noun
shop,cửa hàng,noun
store,cửa hàng,noun
market,chợ,noun
bank,ngân hàng,noun
hospital,bệnh viện,noun
doctor,bác sĩ,noun
nurse,y tá,noun
medicine,thuốc,noun
health,sức khỏe,noun
body,cơ thể,noun
head,đầu,noun
face,mặt,noun
eye,mắt,noun
ear,tai,noun
nose,mũi,noun
mouth,miệng,noun
tooth,răng,noun
tongue,lưỡi,noun
hand,tay,noun
arm,cánh tay,noun
finger,ngón tay,noun
leg,chân,noun
foot,bàn chân,noun
knee,đầu gối,noun
back,lưng,noun
stomach,bụng,noun
heart,tim,noun
blood,máu,noun
bone,xương,noun
skin,da,noun
hair,tóc,noun
car,xe hơi,noun
bus,xe buýt,noun
train,tàu hỏa,noun
plane,máy bay,noun
ship,tàu thuyền,noun
boat,thuyền,noun
bicycle,xe đạp,noun
motorcycle,xe máy,noun
airport,sân bay,noun
station,ga,noun
ticket,vé,noun
travel,du lịch,verb
trip,chuyến đi,noun
visit,thăm,verb
hotel,khách sạn,noun
restaurant,nhà hàng,noun
menu,thực đơn,noun
breakfast,bữa sáng,noun
lunch,bữa trưa,noun
dinner,bữa tối,noun
meal,bữa ăn,noun
hungry,đói,adjective
thirsty,khát,adjective
delicious,ngon,adjective
tasty,ngon,adjective
sweet,ngọt,adjective
sour,chua,adjective
salty,mặn,adjective
bitter,đắng,adjective
spicy,cay,adjective
fresh,tươi,adjective
weather,thời tiết,noun
sun,mặt trời,noun
moon,mặt trăng,noun
star,ngôi sao,noun
sky,bầu trời,noun
cloud,mây,noun
rain,mưa,noun
snow,tuyết,noun
wind,gió,noun
storm,bão,noun
sunny,nắng,adjective
cloudy,nhiều mây,adjective
rainy,mưa,adjective
windy,có gió,adjective
season,mùa,noun
spring,mùa xuân,noun
summer,mùa hè,noun
autumn,mùa thu,noun
fall,mùa thu,noun
winter,mùa đông,noun
job,công việc,noun
work,công việc,noun
office,văn phòng,noun
company,công ty,noun
business,kinh doanh,noun
manager,quản lý,noun
boss,sếp,noun
employee,nhân viên,noun
worker,công nhân,noun
meeting,cuộc họp,noun
project,dự án,noun
problem,vấn đề,noun
solution,giải pháp,noun
idea,ý tưởng,noun
plan,kế hoạch,noun
decision,quyết định,noun
choice,sự lựa chọn,noun
change,thay đổi,noun
result,kết quả,noun
success,thành công,noun
fail,thất bại,verb
failure,thất bại,noun
try,cố gắng,verb
attempt,thử,verb
effort,nỗ lực,noun
hope,hy vọng,noun
wish,mong muốn,noun
dream,giấc mơ,noun
goal,mục tiêu,noun
purpose,mục đích,noun
reason,lý do,noun
cause,nguyên nhân,noun
effect,hiệu ứng,noun
important,quan trọng,adjective
necessary,cần thiết,adjective
useful,hữu ích,adjective
possible,có thể,adjective
impossible,không thể,adjective
special,đặc biệt,adjective
strange,lạ,adjective
common,phổ biến,adjective
normal,bình thường,adjective
usual,thông thường,adjective
regular,thường xuyên,adjective
main,chính,adjective
private,riêng tư,adjective
public,công cộng,adjective
general,chung,adjective
particular,đặc biệt,adjective
certain,chắc chắn,adjective
sure,chắc,adjective
clear,rõ ràng,adjective
bright,sáng,adjective
dark,tối,adjective
light,nhẹ,adjective
heavy,nặng,adjective
thick,dày,adjective
thin,mỏng,adjective
wide,rộng,adjective
narrow,hẹp,adjective
deep,sâu,adjective
shallow,nông,adjective
round,tròn,adjective
square,vuông,adjective
flat,phẳng,adjective
sharp,sắc,adjective
soft,mềm,adjective
loud,to,adjective
quiet,yên,adjective
silent,im lặng,adjective
safe,an toàn,adjective
dangerous,nguy hiểm,adjective
careful,cẩn thận,adjective
busy,bận rộn,adjective
free,rảnh,adjective
ready,sẵn sàng,adjective
alive,sống,adjective
dead,chết,adjective
born,sinh,verb
die,chết,verb
live,sống,verb
life,cuộc sống,noun
death,cái chết,noun
age,tuổi,noun
birth,sinh,noun
grow,phát triển,verb
change,thay đổi,verb
turn,quay,verb
move,di chuyển,verb
stay,ở lại,verb
leave,rời đi,verb
arrive,đến,verb
return,trở về,verb
enter,vào,verb
exit,thoát,verb
follow,theo,verb
lead,dẫn,verb
meet,gặp,verb
join,tham gia,verb
separate,tách,verb
pull,kéo,verb
push,đẩy,verb
throw,ném,verb
catch,bắt,verb
hold,giữ,verb
carry,mang,verb
pick,chọn,verb
choose,chọn lựa,verb
find,tìm,verb
search,tìm kiếm,verb
lose,mất,verb
win,thắng,verb
fight,chiến đấu,verb
war,chiến tranh,noun
peace,hòa bình,noun
army,quân đội,noun
soldier,người lính,noun
gun,súng,noun
weapon,vũ khí,noun
danger,nguy hiểm,noun
fear,sợ hãi,noun
afraid,sợ,adjective
brave,dũng cảm,adjective
protect,bảo vệ,verb
save,cứu,verb
help,giúp đỡ,verb
support,hỗ trợ,verb
serve,phục vụ,verb
use,sử dụng,verb
useful,hữu ích,adjective
useless,vô ích,adjective
break,phá,verb
fix,sửa,verb
repair,sửa chữa,verb
build,xây dựng,verb
create,tạo,verb
destroy,phá hủy,verb
cut,cắt,verb
draw,vẽ,verb
paint,vẽ,verb
art,nghệ thuật,noun
music,âm nhạc,noun
song,bài hát,noun
sing,hát,verb
dance,múa,verb
movie,phim,noun
film,phim,noun
watch,xem,verb
television,ti vi,noun
TV,ti vi,noun
radio,đài,noun
computer,máy tính,noun
phone,điện thoại,noun
call,gọi,verb
internet,internet,noun
email,thư điện tử,noun
message,tin nhắn,noun
send,gửi,verb
receive,nhận,verb
letter,thư,noun
mail,thư,noun
address,địa chỉ,noun
name,tên,noun
age,tuổi,noun
old,cũ,adjective
year,năm,noun
birthday,sinh nhật,noun
celebrate,ăn mừng,verb
party,tiệc,noun
gift,quà,noun
present,quà tặng,noun
game,trò chơi,noun
sport,thể thao,noun
football,bóng đá,noun
soccer,bóng đá,noun
basketball,bóng rổ,noun
tennis,quần vợt,noun
swim,bơi,verb
jump,nhảy,verb
exercise,tập thể dục,verb
practice,luyện tập,verb
train,tập luyện,verb
compete,cạnh tranh,verb
team,đội,noun
player,người chơi,noun
win,thắng,verb
lose,thua,verb
score,điểm,noun
point,điểm,noun
rule,quy tắc,noun
law,luật,noun
right,quyền,noun
wrong,sai,adjective
crime,tội phạm,noun
police,cảnh sát,noun
court,tòa án,noun
judge,thẩm phán,noun
lawyer,luật sư,noun
guilty,có tội,adjective
innocent,vô tội,adjective
prison,nhà tù,noun
freedom,tự do,noun
government,chính phủ,noun
president,tổng thống,noun
minister,bộ trưởng,noun
leader,lãnh đạo,noun
vote,bỏ phiếu,verb
election,bầu cử,noun
politics,chính trị,noun
power,quyền lực,noun
control,kiểm soát,verb
order,trật tự,noun
command,mệnh lệnh,noun
obey,tuân theo,verb
respect,tôn trọng,verb
honor,danh dự,noun
proud,tự hào,adjective
shame,xấu hổ,noun
embarrass,làm xấu hổ,verb
laugh,cười,verb
smile,mỉm cười,verb
cry,khóc,verb
tear,nước mắt,noun
joy,niềm vui,noun
pleasure,khoái cảm,noun
pain,đau,noun
hurt,làm tổn thương,verb
suffer,chịu đựng,verb
worry,lo lắng,verb
care,quan tâm,verb
interest,sự quan tâm,noun
attention,sự chú ý,noun
notice,chú ý,verb
ignore,phớt lờ,verb
accept,chấp nhận,verb
refuse,từ chối,verb
allow,cho phép,verb
permit,cho phép,verb
forbid,cấm,verb
prevent,ngăn chặn,verb
stop,dừng lại,verb
wait,đợi,verb
expect,mong đợi,verb
surprise,ngạc nhiên,verb
wonder,tò mò,verb
curious,tò mò,adjective
doubt,nghi ngờ,verb
trust,tin tưởng,verb
promise,hứa,verb
lie,nói dối,verb
truth,sự thật,noun
honest,trung thực,adjective
fair,công bằng,adjective
unfair,không công bằng,adjective
kind,tốt bụng,adjective
mean,xấu tính,adjective
cruel,độc ác,adjective
generous,hào phóng,adjective
selfish,ích kỷ,adjective
polite,lịch sự,adjective
rude,thô lỗ,adjective
friendly,thân thiện,adjective
unfriendly,không thân thiện,adjective
patient,kiên nhẫn,adjective
impatient,thiếu kiên nhẫn,adjective
calm,bình tĩnh,adjective
nervous,lo lắng,adjective
relaxed,thư giãn,adjective
stressed,căng thẳng,adjective
comfortable,thoải mái,adjective
uncomfortable,không thoải mái,adjective
excited,phấn khích,adjective
boring,nhàm chán,adjective
interesting,thú vị,adjective
funny,buồn cười,adjective
serious,nghiêm túc,adjective
silly,ngớ ngẩn,adjective
stupid,ngu ngốc,adjective
smart,thông minh,adjective
wise,khôn ngoan,adjective
clever,thông minh,adjective
intelligent,thông minh,adjective
foolish,khờ dại,adjective
crazy,điên,adjective
mad,điên,adjective
strange,kỳ lạ,adjective
weird,kỳ quặc,adjective
normal,bình thường,adjective
perfect,hoàn hảo,adjective
terrible,tệ,adjective
horrible,kinh khủng,adjective
awful,khủng khiếp,adjective
wonderful,tuyệt vời,adjective
excellent,xuất sắc,adjective
fantastic,tuyệt vời,adjective
amazing,tuyệt vời,adjective
incredible,đáng kinh ngạc,adjective
ordinary,bình thường,adjective
extraordinary,phi thường,adjective
modern,hiện đại,adjective
ancient,cổ đại,adjective
future,tương lai,noun
past,quá khứ,noun
present,hiện tại,noun
history,lịch sử,noun
story,câu chuyện,noun
news,tin tức,noun
information,thông tin,noun
fact,sự thật,noun
opinion,ý kiến,noun
thought,suy nghĩ,noun
mind,trí óc,noun
brain,não,noun
memory,trí nhớ,noun
imagination,trí tưởng tượng,noun
dream,giấc mơ,noun
reality,thực tế,noun
imagine,tưởng tượng,verb
suppose,giả sử,verb
pretend,giả vờ,verb
seem,có vẻ,verb
appear,xuất hiện,verb
disappear,biến mất,verb
exist,tồn tại,verb
happen,xảy ra,verb
occur,xảy ra,verb
event,sự kiện,noun
occasion,dịp,noun
chance,cơ hội,noun
opportunity,cơ hội,noun
luck,may mắn,noun
lucky,may mắn,adjective
unlucky,không may,adjective
fortune,vận may,noun
fate,số phận,noun
destiny,định mệnh,noun
future,tương lai,noun
plan,kế hoạch,noun
prepare,chuẩn bị,verb
ready,sẵn sàng,adjective
arrange,sắp xếp,verb
organize,tổ chức,verb
manage,quản lý,verb
handle,xử lý,verb
deal,giải quyết,verb
solve,giải quyết,verb
answer,câu trả lời,noun
question,câu hỏi,noun
ask,hỏi,verb
reply,trả lời,verb
respond,phản hồi,verb
explain,giải thích,verb
describe,mô tả,verb
express,thể hiện,verb
communicate,giao tiếp,verb
conversation,hội thoại,noun
discussion,thảo luận,noun
argument,tranh luận,noun
agree,đồng ý,verb
disagree,không đồng ý,verb
opinion,ý kiến,noun
view,quan điểm,noun
attitude,thái độ,noun
behavior,hành vi,noun
action,hành động,noun
activity,hoạt động,noun
habit,thói quen,noun
custom,phong tục,noun
tradition,truyền thống,noun
culture,văn hóa,noun
society,xã hội,noun
community,cộng đồng,noun
group,nhóm,noun
organization,tổ chức,noun
association,hiệp hội,noun
member,thành viên,noun
belong,thuộc về,verb
own,sở hữu,verb
possess,sở hữu,verb
property,tài sản,noun
possession,tài sản,noun
thing,vật,noun
object,đối tượng,noun
item,món đồ,noun
stuff,đồ đạc,noun
material,vật liệu,noun
substance,chất,noun
matter,vật chất,noun
form,hình dạng,noun
shape,hình dạng,noun
size,kích thước,noun
weight,trọng lượng,noun
measure,đo,verb
count,đếm,verb
calculate,tính toán,verb
add,cộng,verb
subtract,trừ,verb
multiply,nhân,verb
divide,chia,verb
equal,bằng,adjective
total,tổng,noun
sum,tổng,noun
amount,số lượng,noun
quantity,số lượng,noun
quality,chất lượng,noun
value,giá trị,noun
worth,giá trị,noun
price,giá cả,noun
cheap,rẻ,adjective
expensive,đắt,adjective
valuable,quý giá,adjective
worthless,vô giá trị,adjective
advantage,lợi thế,noun
disadvantage,bất lợi,noun
benefit,lợi ích,noun
profit,lợi nhuận,noun
loss,mất mát,noun
gain,đạt được,verb
earn,kiếm được,verb
spend,chi tiêu,verb
save,tiết kiệm,verb
waste,lãng phí,verb
use,sử dụng,verb
employ,sử dụng,verb
apply,áp dụng,verb
practice,thực hành,verb
perform,thực hiện,verb
achieve,đạt được,verb
accomplish,hoàn thành,verb
complete,hoàn thành,verb
finish,kết thúc,verb
conclude,kết luận,verb
end,kết thúc,verb
final,cuối cùng,adjective
last,cuối cùng,adjective
ultimate,cuối cùng,adjective
maximum,tối đa,adjective
minimum,tối thiểu,adjective
limit,giới hạn,noun
boundary,ranh giới,noun
border,biên giới,noun
edge,cạnh,noun
corner,góc,noun
center,trung tâm,noun
middle,giữa,noun
side,bên,noun
part,phần,noun
piece,mảnh,noun
section,phần,noun
division,phân chia,noun
whole,toàn bộ,adjective
entire,toàn bộ,adjective
complete,hoàn chỉnh,adjective
partial,một phần,adjective
half,một nửa,noun
quarter,một phần tư,noun
double,gấp đôi,adjective
single,đơn,adjective
pair,cặp,noun
couple,cặp,noun
both,cả hai,adjective
either,một trong hai,adjective
neither,không cái nào,adjective
none,không có,pronoun
each,mỗi,adjective
every,mọi,adjective
several,một vài,adjective
various,nhiều,adjective
different,khác nhau,adjective
similar,tương tự,adjective
alike,giống nhau,adjective
same,giống,adjective
compare,so sánh,verb
contrast,tương phản,verb
differ,khác,verb
distinguish,phân biệt,verb
recognize,nhận ra,verb
identify,xác định,verb
determine,xác định,verb
decide,quyết định,verb
choose,chọn,verb
select,chọn lựa,verb
prefer,thích hơn,verb
favor,ưa thích,verb
appreciate,đánh giá cao,verb
admire,ngưỡng mộ,verb
respect,tôn trọng,verb
worship,thờ cúng,verb
praise,khen ngợi,verb
compliment,khen,verb
criticize,phê bình,verb
blame,đổ lỗi,verb
accuse,buộc tội,verb
forgive,tha thứ,verb
pardon,tha,verb
apologize,xin lỗi,verb
regret,hối tiếc,verb
miss,nhớ,verb
remember,nhớ,verb
recall,nhớ lại,verb
remind,nhắc nhở,verb
warn,cảnh báo,verb
advise,khuyên,verb
suggest,gợi ý,verb
recommend,đề nghị,verb
propose,đề xuất,verb
offer,đề nghị,verb
provide,cung cấp,verb
supply,cung cấp,verb
deliver,giao,verb
distribute,phân phối,verb
share,chia sẻ,verb
divide,phân chia,verb
separate,tách,verb
unite,kết hợp,verb
combine,kết hợp,verb
mix,trộn,verb
blend,trộn,verb
join,tham gia,verb
connect,kết nối,verb
attach,đính kèm,verb
fix,sửa,verb
fasten,buộc chặt,verb
tie,buộc,verb
bind,trói,verb
wrap,gói,verb
cover,che,verb
hide,giấu,verb
reveal,tiết lộ,verb
show,cho xem,verb
display,hiển thị,verb
demonstrate,trình bày,verb
prove,chứng minh,verb
test,thử nghiệm,verb
examine,kiểm tra,verb
check,kiểm tra,verb
inspect,thanh tra,verb
investigate,điều tra,verb
explore,khám phá,verb
discover,khám phá,verb
invent,phát minh,verb
develop,phát triển,verb
improve,cải thiện,verb
progress,tiến bộ,noun
advance,tiến bộ,verb
increase,tăng,verb
decrease,giảm,verb
rise,tăng,verb
fall,giảm,verb
grow,tăng trưởng,verb
reduce,giảm,verb
lower,hạ,verb
raise,nâng,verb
lift,nâng,verb
drop,thả,verb
sink,chìm,verb
float,nổi,verb
fly,bay,verb
crash,va chạm,verb
hit,đánh,verb
strike,đập,verb
beat,đánh,verb
knock,gõ,verb
touch,chạm,verb
feel,cảm giác,verb
press,ấn,verb
squeeze,bóp,verb
twist,xoắn,verb
bend,uốn,verb
fold,gập,verb
tear,xé,verb
rip,xé,verb
crack,nứt,verb
split,chia,verb
shatter,vỡ,verb
explosion,vụ nổ,noun
explode,nổ,verb
burn,đốt,verb
fire,lửa,noun
flame,ngọn lửa,noun
smoke,khói,noun
ash,tro,noun
dust,bụi,noun
dirt,bụi bẩn,noun
mud,bùn,noun
sand,cát,noun
rock,đá,noun
stone,đá,noun
metal,kim loại,noun
iron,sắt,noun
steel,thép,noun
gold,vàng,noun
silver,bạc,noun
copper,đồng,noun
glass,kính,noun
plastic,nhựa,noun
wood,gỗ,noun
paper,giấy,noun
cloth,vải,noun
leather,da,noun
rubber,cao su,noun
oil,dầu,noun
gas,khí,noun
fuel,nhiên liệu,noun
energy,năng lượng,noun
electricity,điện,noun
power,sức mạnh,noun
force,lực,noun
strength,sức mạnh,noun
weak,yếu,adjective
powerful,mạnh mẽ,adjective
intense,mạnh mẽ,adjective
gentle,nhẹ nhàng,adjective
violent,bạo lực,adjective
rough,thô,adjective
smooth,mịn,adjective
hard,cứng,adjective
soft,mềm,adjective
solid,rắn,adjective
liquid,lỏng,adjective
gas,khí,noun
steam,hơi nước,noun
vapor,hơi,noun
bubble,bong bóng,noun
wave,sóng,noun
current,dòng,noun
flow,chảy,verb
pour,đổ,verb
spill,tràn,verb
leak,rò rỉ,verb
drip,nhỏ giọt,verb
splash,bắn tung tóe,verb
overflow,tràn,verb
flood,lũ lụt,noun
drought,hạn hán,noun
desert,sa mạc,noun
ice,băng,noun
frost,sương giá,noun
freeze,đóng băng,verb
melt,tan,verb
heat,nhiệt,noun
temperature,nhiệt độ,noun
degree,độ,noun
cold,lạnh,adjective
cool,mát,adjective
warm,ấm,adjective
hot,nóng,adjective
boil,sôi,verb
cook,nấu,verb
bake,nướng,verb
fry,rán,verb
roast,nướng,verb
grill,nướng,verb
steam,hấp,verb
boil,luộc,verb
mix,trộn,verb
stir,khuấy,verb
pour,rót,verb
serve,phục vụ,verb
taste,nếm,verb
smell,ngửi,verb
flavor,hương vị,noun
aroma,hương thơm,noun
scent,mùi hương,noun
perfume,nước hoa,noun
stink,hôi,verb
odor,mùi,noun
